Node,Depth,Value
root,0,-Infinity
B2,1,Infinity
A2,2,Infinity
A2,2,-Infinity
B2,3,Infinity
A3,4,-Infinity
B2,5,-6
A3,4,-6
B3,5,-Infinity
B2,5,-3
B3,5,-3
B3,5,-4
B3,5,-3
B4,5,-1
B3,5,-1
B5,5,-1
B3,5,-1
B6,5,-1
B3,5,-1
A3,4,-1
B4,5,-5
A3,4,-1
B5,5,-4
A3,4,-1
B6,5,-Infinity
B2,5,-3
B6,5,-3
B3,5,-1
B6,5,-1
B4,5,-1
B6,5,-1
B5,5,-1
B6,5,-1
B6,5,-3
B6,5,-1
A3,4,-1
B2,3,-1
A4,4,Infinity
A2,4,-Infinity
B2,5,0
A2,4,0
B3,5,2
A2,4,2
B4,5,2
A2,4,2
B5,5,2
A2,4,2
B6,5,2
A2,4,2
A4,4,2
A3,4,-Infinity
B2,5,6
A3,4,6
B3,5,-6
A3,4,6
B4,5,-6
A3,4,6
B5,5,-6
A3,4,6
B6,5,-6
A3,4,6
A4,4,2
A4,4,-Infinity
B2,5,1
A4,4,1
B3,5,3
A4,4,3
B4,5,3
A4,4,3
B5,5,3
A4,4,3
B6,5,3
A4,4,3
A4,4,2
A5,4,-Infinity
B2,5,-5
A5,4,-5
B3,5,-4
A5,4,-4
B4,5,-4
A5,4,-4
B5,5,-3
A5,4,-3
B6,5,-4
A5,4,-3
A4,4,-3
A6,4,-Infinity
B2,5,-2
A6,4,-2
B3,5,0
A6,4,0
B4,5,0
A6,4,0
B5,5,0
A6,4,0
B6,5,0
A6,4,0
A4,4,-3
B2,3,-3
A5,4,-Infinity
B2,5,-3
A5,4,-3
B3,5,-2
A5,4,-2
B4,5,-2
A5,4,-2
B5,5,-Infinity
B2,5,0
B5,5,0
B3,5,1
B5,5,1
B4,5,1
B5,5,1
B5,5,-Infinity
B2,5,1
B5,5,1
B3,5,2
B5,5,2
B4,5,2
B5,5,2
B6,5,3
B5,5,3
B5,5,3
B6,5,-Infinity
B2,5,16
B6,5,16
B3,5,5
B6,5,16
B4,5,-Infinity
B2,5,6
B4,5,6
B3,5,8
B4,5,8
B4,5,5
B4,5,8
B5,5,6
B4,5,8
B6,5,6
B4,5,8
B6,5,16
B5,5,3
B6,5,16
B6,5,3
B6,5,16
B5,5,16
A5,4,16
B6,5,-2
A5,4,16
B2,3,-3
A6,4,-Infinity
B2,5,0
A6,4,0
B3,5,2
A6,4,2
