Node,Depth,Value
root,0,-Infinity
A2,1,-Infinity
A3,1,-Infinity
A2,1,-Infinity
A4,1,-Infinity
A2,1,-Infinity
A3,1,Infinity
A3,1,6
A2,1,6
A4,1,6
A3,1,Infinity
B2,2,Infinity
B3,2,-Infinity
A2,3,Infinity
B2,4,-Infinity
A4,5,Infinity
A4,5,0
B2,4,0
A2,3,0
B4,4,-Infinity
A3,5,Infinity
A3,5,6
B4,4,6
A4,5,Infinity
A4,5,6
B4,4,6
A2,3,0
B3,2,0
A4,3,Infinity
B4,4,-Infinity
B4,4,6
A4,3,6
B3,2,6
B2,2,6
B4,2,-Infinity
A2,3,Infinity
B2,4,-Infinity
A4,5,Infinity
A4,5,8
B2,4,8
A2,3,8
B3,4,-Infinity
A4,5,Infinity
B4,6,Infinity
B4,6,4
A4,5,4
B3,4,4
A2,3,4
B4,2,4
A4,3,Infinity
A4,3,8
B4,2,8
B2,2,6
A3,1,6
B3,2,Infinity
B2,2,Infinity
B3,2,-Infinity
A2,3,Infinity
A2,3,-2
B3,2,-2
B2,2,-2
B4,2,-Infinity
A2,3,Infinity
B2,4,-Infinity
A3,5,Infinity
B3,6,Infinity
B4,6,Infinity
B4,6,2
B3,6,2
A3,5,2
B2,4,2
A4,5,Infinity
B3,6,Infinity
B4,6,Infinity
B4,6,2
B3,6,2
A4,5,2
B2,4,2
A2,3,2
B3,4,-Infinity
A3,5,Infinity
A3,5,2
B3,4,2
A2,3,2
B4,2,2
A3,3,Infinity
B3,4,-Infinity
B3,4,2
A3,3,2
B4,2,2
A4,3,Infinity
B3,4,-Infinity
B3,4,4
A4,3,4
B4,2,4
B2,2,-2
B3,2,-2
B4,2,-Infinity
A2,3,Infinity
B2,4,-Infinity
A4,5,Infinity
B3,6,-Infinity
A3,7,Infinity
A3,7,2
B3,6,2
A4,5,2
B4,6,Infinity
B3,6,-Infinity
B3,6,2
B4,6,2
A4,5,2
B2,4,2
A2,3,2
B4,2,2
A4,3,Infinity
B2,4,Infinity
B3,4,-Infinity
A2,5,Infinity
A2,5,0
B3,4,0
B2,4,0
B4,4,Infinity
B3,4,-Infinity
B3,4,2
B4,4,2
B2,4,0
A4,3,0
B4,2,2
B3,2,-2
A3,1,-2
B4,2,Infinity
B2,2,Infinity
B3,2,-Infinity
A2,3,Infinity
B2,4,-Infinity
A4,5,Infinity
A4,5,0
B2,4,0
A2,3,0
B4,4,-Infinity
A4,5,Infinity
A4,5,4
B4,4,4
A2,3,0
B3,2,0
A4,3,Infinity
B4,4,-Infinity
B4,4,4
A4,3,4
B3,2,4
B2,2,4
B4,2,Infinity
B3,2,-Infinity
A2,3,Infinity
B2,4,-Infinity
A4,5,Infinity
A4,5,0
B2,4,0
A2,3,0
B4,4,Infinity
B2,4,-Infinity
B2,4,0
B4,4,0
A2,3,0
B3,2,0
A4,3,Infinity
B4,4,Infinity
B4,4,2
A4,3,2
B3,2,2
B4,2,2
B2,2,2
B4,2,2
B3,2,Infinity
B2,2,Infinity
B3,2,-Infinity
A2,3,Infinity
A2,3,-2
B3,2,-2
B2,2,-2
B4,2,-Infinity
A2,3,Infinity
B2,4,-Infinity
A4,5,Infinity
A4,5,4
B2,4,4
A2,3,4
B3,4,-Infinity
B3,4,-2
A2,3,-2
B4,2,-2
A4,3,Infinity
A4,3,4
B4,2,4
B2,2,-2
B3,2,-2
B4,2,Infinity
B2,2,Infinity
B3,2,-Infinity
A2,3,Infinity
A2,3,-2
B3,2,-2
B2,2,-2
B4,2,Infinity
B3,2,-Infinity
B3,2,0
B4,2,0
B2,2,-2
B4,2,-2
B3,2,-2
B4,2,-2
A3,1,-2
A4,1,6
A2,1,6
A3,1,6
A4,1,-Infinity
A2,1,Infinity
B2,2,-Infinity
A3,3,Infinity
B3,4,-Infinity
A4,5,Infinity
B4,6,-Infinity
B4,6,6
A4,5,6
B3,4,6
A3,3,6
B4,4,-Infinity
A4,5,Infinity
B3,6,-Infinity
A3,7,Infinity
B4,8,Infinity
B4,8,4
A3,7,4
B3,6,4
A4,7,Infinity
B4,8,Infinity
B4,8,4
A4,7,4
B3,6,4
A4,5,4
B4,4,4
A3,3,4
B2,2,4
A4,3,Infinity
B3,4,-Infinity
A3,5,-Infinity
A2,5,-Infinity
A4,5,Infinity
A4,5,2
A2,5,2
A3,5,2
A4,5,Infinity
B4,6,-Infinity
B4,6,6
A4,5,6
A3,5,6
B3,4,6
A4,5,Infinity
B4,6,-Infinity
B4,6,6
A4,5,6
B3,4,6
A4,3,6
B4,4,-Infinity
A3,5,-Infinity
A2,5,-Infinity
A4,5,Infinity
A4,5,8
A2,5,8
A3,5,8
A4,5,Infinity
A4,5,8
A3,5,8
B4,4,8
A4,5,Infinity
B3,6,-Infinity
A3,7,Infinity
B2,8,-Infinity
A2,9,-Infinity
A4,9,Infinity
A4,9,2
A2,9,2
B2,8,2
A4,9,Infinity
B4,10,2
A4,9,2
B2,8,2
A3,7,2
B4,8,Infinity
B2,8,-Infinity
B2,8,2
B4,8,2
A3,7,2
B3,6,2
A4,7,Infinity
B4,8,Infinity
B4,8,4
A4,7,4
B3,6,4
A4,5,4
B4,4,8
A4,3,6
B2,2,6
