Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
A2,1,Infinity,-Infinity,Infinity
B2,2,-Infinity,-Infinity,Infinity
A2,3,Infinity,-Infinity,Infinity
B2,4,-Infinity,-Infinity,Infinity
A2,5,-4,-Infinity,Infinity
B2,4,-4,-4,Infinity
A3,5,2,-4,Infinity
B2,4,2,2,Infinity
A4,5,-2,2,Infinity
B2,4,2,2,Infinity
A5,5,4,2,Infinity
B2,4,4,4,Infinity
A2,3,4,-Infinity,4
B3,4,-Infinity,-Infinity,4
A2,5,-7,-Infinity,4
B3,4,-7,-7,4
A3,5,-1,-7,4
B3,4,-1,-1,4
A4,5,-5,-1,4
B3,4,-1,-1,4
A5,5,1,-1,4
B3,4,1,1,4
A2,3,1,-Infinity,1
B4,4,-Infinity,-Infinity,1
A2,5,-6,-Infinity,1
B4,4,-6,-6,1
A3,5,0,-6,1
B4,4,0,0,1
A4,5,-4,0,1
B4,4,0,0,1
A5,5,2,0,1
B4,4,2,0,1
A2,3,1,-Infinity,1
B5,4,-Infinity,-Infinity,1
A2,5,-10,-Infinity,1
B5,4,-10,-10,1
A3,5,-4,-10,1
B5,4,-4,-4,1
A4,5,-7,-4,1
B5,4,-4,-4,1
A5,5,-1,-4,1
B5,4,-1,-1,1
A2,3,-1,-Infinity,-1
B2,2,-1,-1,Infinity
A3,3,Infinity,-1,Infinity
B2,4,-Infinity,-1,Infinity
A2,5,2,-1,Infinity
B2,4,2,2,Infinity
A3,5,0,2,Infinity
B2,4,2,2,Infinity
A4,5,3,2,Infinity
B2,4,3,3,Infinity
A5,5,9,3,Infinity
B2,4,9,9,Infinity
A3,3,9,-1,9
B3,4,-Infinity,-1,9
A2,5,-1,-1,9
B3,4,-1,-1,9
A3,5,-3,-1,9
B3,4,-1,-1,9
A4,5,0,-1,9
B3,4,0,0,9
A5,5,6,0,9
B3,4,6,6,9
A3,3,6,-1,6
B4,4,-Infinity,-1,6
A2,5,1,-1,6
B4,4,1,1,6
A3,5,45,1,6
B4,4,45,1,6
A3,3,6,-1,6
B5,4,-Infinity,-1,6
A2,5,-3,-1,6
B5,4,-3,-1,6
A3,5,-4,-1,6
B5,4,-3,-1,6
A4,5,-2,-1,6
B5,4,-2,-1,6
A5,5,4,-1,6
B5,4,4,4,6
A3,3,4,-1,4
B2,2,4,4,Infinity
A4,3,Infinity,4,Infinity
B2,4,Infinity,4,Infinity
B2,4,-Infinity,4,Infinity
A2,5,-3,4,Infinity
B2,4,-3,4,Infinity
A3,5,2,4,Infinity
B2,4,2,4,Infinity
A4,5,-Infinity,4,Infinity
A2,5,-2,4,Infinity
A4,5,-2,4,Infinity
A3,5,3,4,Infinity
A4,5,3,4,Infinity
A5,5,5,4,Infinity
A4,5,5,5,Infinity
B2,4,5,5,Infinity
A5,5,4,5,Infinity
B2,4,5,5,Infinity
B2,4,5,4,5
B3,4,-Infinity,4,5
A2,5,-7,4,5
B3,4,-7,4,5
A3,5,-Infinity,4,5
A2,5,-Infinity,4,5
A2,5,3,4,5
A2,5,3,4,5
A3,5,3,4,5
A2,5,3,4,5
A4,5,4,4,5
A2,5,4,4,5
A5,5,13,4,5
A2,5,13,4,5
A3,5,13,4,5
B3,4,13,4,5
B2,4,5,4,5
B4,4,-Infinity,4,5
A2,5,-Infinity,4,5
A2,5,-4,4,5
A2,5,-4,4,5
A3,5,3,4,5
A2,5,3,4,5
A4,5,-4,4,5
A2,5,3,4,5
A5,5,5,4,5
A2,5,5,4,5
B4,4,5,4,5
B2,4,5,4,5
B5,4,-Infinity,4,5
A2,5,-9,4,5
B5,4,-9,4,5
A3,5,-4,4,5
B5,4,-4,4,5
A4,5,-11,4,5
B5,4,-4,4,5
A5,5,-2,4,5
B5,4,-2,4,5
B2,4,4,4,5
A4,3,4,4,Infinity
B2,2,4,4,Infinity
A5,3,Infinity,4,Infinity
B2,4,-Infinity,4,Infinity
A2,5,4,4,Infinity
B2,4,4,4,Infinity
A3,5,9,4,Infinity
B2,4,9,9,Infinity
A4,5,5,9,Infinity
B2,4,9,9,Infinity
A5,5,2,9,Infinity
B2,4,9,9,Infinity
A5,3,9,4,9
B3,4,-Infinity,4,9
A2,5,1,4,9
B3,4,1,4,9
A3,5,6,4,9
B3,4,6,6,9
A4,5,2,6,9
B3,4,6,6,9
A5,5,-Infinity,6,9
A2,5,-Infinity,6,9
A2,5,5,6,9
A2,5,5,6,9
A3,5,13,6,9
A2,5,13,6,9
A5,5,13,6,9
B3,4,13,6,9
A5,3,9,4,9
B4,4,Infinity,4,9
B2,4,Infinity,4,9
B2,4,-Infinity,4,9
A2,5,-1,4,9
B2,4,-1,4,9
A3,5,4,4,9
B2,4,4,4,9
A4,5,0,4,9
B2,4,4,4,9
A5,5,-Infinity,4,9
A2,5,-Infinity,4,9
A2,5,3,4,9
A2,5,3,4,9
A3,5,11,4,9
A2,5,11,4,9
A5,5,11,4,9
B2,4,11,4,9
B2,4,11,4,9
B3,4,-Infinity,4,9
A2,5,-6,4,9
B3,4,-6,4,9
A3,5,-1,4,9
B3,4,-1,4,9
A4,5,-5,4,9
B3,4,-1,4,9
A5,5,-8,4,9
B3,4,-1,4,9
B2,4,4,4,9
B4,4,4,4,9
A5,3,4,4,9
B2,2,4,4,Infinity
A2,1,4,-Infinity,4
B3,2,-Infinity,-Infinity,4
A2,3,Infinity,-Infinity,4
B2,4,-Infinity,-Infinity,4
A2,5,-Infinity,-Infinity,4
A2,5,-Infinity,-Infinity,4
A3,5,1,-Infinity,4
A2,5,1,1,4
A4,5,-3,1,4
A2,5,1,1,4
A5,5,3,1,4
A2,5,3,3,4
A2,5,3,3,4
A3,5,0,3,4
A2,5,3,3,4
A4,5,-4,3,4
A2,5,3,3,4
A5,5,2,3,4
A2,5,3,3,4
B2,4,3,3,4
A3,5,-2,3,4
B2,4,3,3,4
A4,5,-6,3,4
B2,4,3,3,4
A5,5,0,3,4
B2,4,3,3,4
A2,3,3,-Infinity,3
B3,4,Infinity,-Infinity,3
B2,4,-Infinity,-Infinity,3
A2,5,-Infinity,-Infinity,3
A2,5,-Infinity,-Infinity,3
A3,5,0,-Infinity,3
A2,5,0,0,3
A4,5,-4,0,3
A2,5,0,0,3
A5,5,2,0,3
A2,5,2,2,3
A2,5,2,2,3
A3,5,-1,2,3
A2,5,2,2,3
A4,5,-5,2,3
A2,5,2,2,3
A5,5,1,2,3
A2,5,2,2,3
B2,4,2,2,3
A3,5,-3,2,3
B2,4,2,2,3
A4,5,-7,2,3
B2,4,2,2,3
A5,5,-1,2,3
B2,4,2,2,3
B3,4,2,-Infinity,2
B4,4,-Infinity,-Infinity,2
A2,5,-Infinity,-Infinity,2
A3,5,6,-Infinity,2
A2,5,6,-Infinity,2
B4,4,6,-Infinity,2
B3,4,2,-Infinity,2
B5,4,-Infinity,-Infinity,2
A2,5,-4,-Infinity,2
B5,4,-4,-4,2
A3,5,-Infinity,-4,2
A2,5,4,-4,2
A3,5,4,-4,2
B5,4,4,-4,2
B3,4,2,-Infinity,2
A2,3,2,-Infinity,2
B4,4,-Infinity,-Infinity,2
A2,5,-Infinity,-Infinity,2
A3,5,7,-Infinity,2
A2,5,7,-Infinity,2
B4,4,7,-Infinity,2
A2,3,2,-Infinity,2
B5,4,-Infinity,-Infinity,2
A2,5,-3,-Infinity,2
B5,4,-3,-3,2
A3,5,-Infinity,-3,2
A2,5,5,-3,2
A3,5,5,-3,2
B5,4,5,-3,2
A2,3,2,-Infinity,2
B3,2,2,2,4
A3,3,Infinity,2,4
B2,4,-Infinity,2,4
A2,5,-1,2,4
B2,4,-1,2,4
A3,5,-2,2,4
B2,4,-1,2,4
A4,5,0,2,4
B2,4,0,2,4
A5,5,6,2,4
B2,4,6,2,4
A3,3,6,2,4
B3,4,-Infinity,2,4
A2,5,8,2,4
B3,4,8,2,4
A3,3,6,2,4
B4,4,-Infinity,2,4
A2,5,7,2,4
B4,4,7,2,4
A3,3,6,2,4
B5,4,-Infinity,2,4
A2,5,3,2,4
B5,4,3,3,4
A3,5,-Infinity,3,4
A2,5,5,3,4
A3,5,5,3,4
B5,4,5,3,4
A3,3,5,2,4
B3,2,4,2,4
A2,1,4,-Infinity,4
B4,2,-Infinity,-Infinity,4
A2,3,Infinity,-Infinity,4
B2,4,Infinity,-Infinity,4
B2,4,-Infinity,-Infinity,4
A2,5,-21,-Infinity,4
B2,4,-21,-21,4
A3,5,-16,-21,4
B2,4,-16,-16,4
A4,5,-22,-16,4
B2,4,-16,-16,4
A5,5,-14,-16,4
B2,4,-14,-14,4
B2,4,-14,-Infinity,-14
B3,4,-Infinity,-Infinity,-14
A2,5,-24,-Infinity,-14
B3,4,-24,-24,-14
A3,5,-19,-24,-14
B3,4,-19,-19,-14
